Category,Item Name,Description,Location,Type/Subtype,Required for,Reward,Mandatory/Optional,Source
Bosses,Moss Mother,First boss encounter. Flying bug with stinger. Tutorial boss.,"Ruined Chapel, Moss Grotto",Main Story Boss,Progression,Access to further areas,Mandatory,"Rock Paper Shotgun, Game8"
Bosses,Bell Beast,Fast travel creature. Pillbug-like boss stuck in silk trap.,The Marrow (entrance area),Main Story Boss,Silkspear ability,Transportation mount,Mandatory,"Rock Paper Shotgun, Game8"
Bosses,Lace,Recurring boss character. Similar to Hornet in original game.,Deep Docks (behind locked gate),Main Story Boss,Swift Step ability,Story progression,Mandatory,"Rock Paper Shotgun, Game8"
Bosses,Savage Beastfly,Main story boss in Hunter's March.,"Chapel of the Beast, Hunter's March",Main Story Boss,Drifter's Cloak,Horn Fragment,Mandatory,Game8
Bosses,Fourth Chorus,Boss in Far Fields area.,"Lava Pit, Far Fields",Main Story Boss,Drifter's Cloak,Story progression,Mandatory,Game8
Bosses,Moorwing,Boss at the edge of Greymoor.,Edge of Greymoor (before Bellhart),Main Story Boss,Unknown,Story progression,Mandatory,Game8
Bosses,Sister Splinter,Boss near the top of Shellwood.,Near top of Shellwood,Main Story Boss,Unknown,Story progression,Mandatory,Game8
Bosses,Widow,Boss in Bellhart area.,Bellhart,Main Story Boss,Cling Grip,Needolin Ancestral Art,Mandatory,"Game8, Nintendo Life"
Bosses,Last Judge,Final area boss guarding the Grand Gate.,East of Blasted Steps (Grand Gate),Main Story Boss,Unknown,Access to final area,Mandatory,Game8
Bosses,Cogwork Dancers,Optional boss in Cogwork area.,Intersection of Cogwork Core and Choral Chambers,Optional Boss,Unknown,Unknown,Optional,Game8
Bosses,Skull Tyrant,Optional boss in The Marrow.,The Marrow,Optional Boss,Cling Grip,Crown Fragment,Optional,Game8
Tools,Straight Pin,Light throwing tool that launches small pins forward.,The Marrow,Red Tool (Offensive),Combat,Ranged attack ability,Optional,IGN
Tools,Sting Shard,Throws a spiked trap that expands and detonates when touched.,Deep Docks,Red Tool (Offensive),Combat,Trap attack ability,Optional,IGN
Tools,Flintslate,Temporarily heats Needle weapon for increased fire damage.,Deep Docks,Red Tool (Offensive),Combat,Fire damage enhancement,Optional,IGN
Tools,Curveclaw,Throws curved boomerang that arcs backward and up.,Hunter's March,Red Tool (Offensive),Combat,Boomerang attack,Optional,IGN
Tools,Threefold Pin,Throws three blades in a fan pattern.,Greymoor,Red Tool (Offensive),Combat,Multi-projectile attack,Optional,IGN
Tools,Druid's Eye,Taking damage secretes green elixir that turns to Silk.,Moss Grotto (Mosshome),Blue Tool (Passive),Survival,Silk regeneration on damage,Optional,IGN
Tools,Magma Bell,Negates heat damage from fiery surfaces (not lava).,Deep Docks,Blue Tool (Passive),Environmental protection,Heat damage immunity,Optional,IGN
Tools,Fractured Mask,Protects final Health Point from killing blow until next Bench.,Hunter's March,Blue Tool (Passive),Survival,Death protection,Optional,IGN
